Algorithm,Variant,Iteration,BestTrainMakespan
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),12,405.76119402985074
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),13,405.76119402985074
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),14,405.76119402985074
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),15,403.3731343283582
HOFT,Original Algo + BO,1,412.8955223880597
HOFT,Original Algo + BO,2,412.8955223880597
HOFT,Original Algo + BO,3,412.8955223880597
HOFT,Original Algo + BO,4,412.8955223880597
HOFT,Original Algo + BO,5,412.8955223880597
HOFT,Original Algo + BO,6,412.8955223880597
HOFT,Original Algo + BO,7,412.8955223880597
HOFT,Original Algo + BO,8,412.8955223880597
HOFT,Original Algo + BO,9,412.8955223880597
HOFT,Original Algo + BO,10,412.8955223880597
HOFT,Original Algo + BO,11,412.8955223880597
HOFT,Original Algo + BO,12,404.4179104477612
HOFT,Original Algo + BO,13,404.4179104477612
HOFT,Original Algo + BO,14,404.4179104477612
HOFT,Original Algo + BO,15,404.4179104477612
HOFT,Original Algo + Motifs + BO,1,416.910447761194
HOFT,Original Algo + Motifs + BO,2,416.910447761194
HOFT,Original Algo + Motifs + BO,3,416.910447761194
HOFT,Original Algo + Motifs + BO,4,416.910447761194
HOFT,Original Algo + Motifs + BO,5,416.910447761194
HOFT,Original Algo + Motifs + BO,6,416.910447761194
HOFT,Original Algo + Motifs + BO,7,416.910447761194
HOFT,Original Algo + Motifs + BO,8,415.2835820895522
HOFT,Original Algo + Motifs + BO,9,415.2835820895522
HOFT,Original Algo + Motifs + BO,10,415.2835820895522
HOFT,Original Algo + Motifs + BO,11,415.2835820895522
HOFT,Original Algo + Motifs + BO,12,415.2835820895522
HOFT,Original Algo + Motifs + BO,13,415.2835820895522
HOFT,Original Algo + Motifs + BO,14,415.2835820895522
HOFT,Original Algo + Motifs + BO,15,408.1641791044776
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),1,430.65671641791045
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),12,413.82089552238807
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),13,413.82089552238807
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),14,413.82089552238807
HOFT,Original Algo + Configs + BO (LLM for Weight Generation),15,413.82089552238807
CPOP,Original Algo + BO,1,424.34328358208955
CPOP,Original Algo + BO,2,424.34328358208955
CPOP,Original Algo + BO,3,424.34328358208955
CPOP,Original Algo + BO,4,419.56716417910445
CPOP,Original Algo + BO,5,419.56716417910445
CPOP,Original Algo + BO,6,419.56716417910445
CPOP,Original Algo + BO,7,419.56716417910445
CPOP,Original Algo + BO,8,413.23880597014926
CPOP,Original Algo + BO,9,413.23880597014926
CPOP,Original Algo + BO,10,413.23880597014926
CPOP,Original Algo + BO,11,413.23880597014926
CPOP,Original Algo + BO,12,401.3134328358209
CPOP,Original Algo + BO,13,401.3134328358209
CPOP,Original Algo + BO,14,401.3134328358209
CPOP,Original Algo + BO,15,401.3134328358209
CPOP,Original Algo + Motifs + BO,1,419.4029850746269
CPOP,Original Algo + Motifs + BO,2,419.4029850746269
CPOP,Original Algo + Motifs + BO,3,419.4029850746269
CPOP,Original Algo + Motifs + BO,4,419.4029850746269
CPOP,Original Algo + Motifs + BO,5,419.4029850746269
CPOP,Original Algo + Motifs + BO,6,419.4029850746269
CPOP,Original Algo + Motifs + BO,7,419.4029850746269
CPOP,Original Algo + Motifs + BO,8,415.2835820895522
CPOP,Original Algo + Motifs + BO,9,415.2835820895522
CPOP,Original Algo + Motifs + BO,10,415.2835820895522
CPOP,Original Algo + Motifs + BO,11,415.2835820895522
CPOP,Original Algo + Motifs + BO,12,415.2835820895522
CPOP,Original Algo + Motifs + BO,13,415.2835820895522
CPOP,Original Algo + Motifs + BO,14,413.53731343283584
CPOP,Original Algo + Motifs + BO,15,411.64179104477614
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),1,430.55223880597015
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),12,405.76119402985074
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),13,405.76119402985074
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),14,405.76119402985074
CPOP,Original Algo + Configs + BO (LLM for Weight Generation),15,403.3731343283582
PEFT,Original Algo + BO,1,414.04477611940297
PEFT,Original Algo + BO,2,414.04477611940297
PEFT,Original Algo + BO,3,414.04477611940297
PEFT,Original Algo + BO,4,414.04477611940297
PEFT,Original Algo + BO,5,414.04477611940297
PEFT,Original Algo + BO,6,414.04477611940297
PEFT,Original Algo + BO,7,414.04477611940297
PEFT,Original Algo + BO,8,413.23880597014926
PEFT,Original Algo + BO,9,413.23880597014926
PEFT,Original Algo + BO,10,413.23880597014926
PEFT,Original Algo + BO,11,413.23880597014926
PEFT,Original Algo + BO,12,413.23880597014926
PEFT,Original Algo + BO,13,402.6268656716418
PEFT,Original Algo + BO,14,402.6268656716418
PEFT,Original Algo + BO,15,402.6268656716418
PEFT,Original Algo + Motifs + BO,1,415.5820895522388
PEFT,Original Algo + Motifs + BO,2,415.5820895522388
PEFT,Original Algo + Motifs + BO,3,415.5820895522388
PEFT,Original Algo + Motifs + BO,4,415.5820895522388
PEFT,Original Algo + Motifs + BO,5,415.5820895522388
PEFT,Original Algo + Motifs + BO,6,415.5820895522388
PEFT,Original Algo + Motifs + BO,7,415.5820895522388
PEFT,Original Algo + Motifs + BO,8,415.2835820895522
PEFT,Original Algo + Motifs + BO,9,415.2835820895522
PEFT,Original Algo + Motifs + BO,10,415.2835820895522
PEFT,Original Algo + Motifs + BO,11,415.2835820895522
PEFT,Original Algo + Motifs + BO,12,415.2835820895522
PEFT,Original Algo + Motifs + BO,13,415.2835820895522
