method,family,nodes,edges,makespan,slr,runtime_ms,motifs
BO-Cold-Heuristic,WS,30,44,161.0,1.5480769230769231,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
BO-Cold-Heuristic,BA,30,45,260.0,1.244019138755981,2.193927764892578,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
BO-Cold-Heuristic,WS,30,40,128.0,1.5609756097560976,0.5018711090087891,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
BO-Cold-Heuristic,BA,50,82,253.0,1.5521472392638036,0.0,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
BO-Cold-Heuristic,ER,50,107,213.0,1.4791666666666667,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
BO-Cold-Heuristic,ER,50,107,248.0,1.441860465116279,9.529829025268555,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
GNN-Imitation,MOTIF_JOIN,11,10,71.0,1.4489795918367347,39.13569450378418,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
GNN-Imitation,ER,30,25,106.0,1.8275862068965518,2.0263195037841797,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
GNN-Imitation,ER,50,118,275.0,1.4102564102564104,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
GNN-Imitation,ER,20,16,76.0,1.1176470588235294,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
GNN-Imitation,ER,30,59,160.0,1.4285714285714286,9.424448013305664,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
GNN-Imitation,BA,50,85,203.0,1.460431654676259,2.105236053466797,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
GNN-Imitation,WS,30,44,151.0,1.4519230769230769,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
GNN-Imitation,BA,30,45,260.0,1.244019138755981,0.0,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
GNN-Imitation,WS,30,40,124.0,1.5121951219512195,8.275508880615234,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
GNN-Imitation,BA,50,82,234.0,1.4355828220858895,1.5377998352050781,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
GNN-Imitation,ER,50,107,206.0,1.4305555555555556,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
GNN-Imitation,ER,50,107,255.0,1.4825581395348837,9.294509887695312,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
Decima-like-RL,MOTIF_JOIN,11,10,74.0,1.510204081632653,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
Decima-like-RL,ER,30,25,135.0,2.3275862068965516,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
Decima-like-RL,ER,50,118,298.0,1.528205128205128,7.899045944213867,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
Decima-like-RL,ER,20,16,95.0,1.3970588235294117,2.142190933227539,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
