dag_id,method,family,nodes,edges,makespan,critical_path_lb,combined_lb,slr,gap_to_lb_percent,runtime_ms,actual_inner_method,improvement_vs_heft_percent
4,CPOP,ER,20,22,168.0,65.0,73.5,2.5846153846153848,56.25,0.0,CPOP,-31.25
5,CPOP,ER,80,292,686.0,209.0,249.25,3.2822966507177034,63.66618075801749,0.0,CPOP,-14.143094841930118
6,CPOP,WS,30,46,363.0,138.0,138.0,2.630434782608696,61.98347107438017,0.0,CPOP,1.358695652173913
7,CPOP,ER,80,268,712.0,230.0,257.75,3.0956521739130434,63.79915730337079,11.375665664672852,CPOP,-25.573192239858905
8,CPOP,MOTIF_FORK,15,14,110.0,38.0,38.0,2.8947368421052633,65.45454545454545,0.0,CPOP,-1.8518518518518516
9,CPOP,ER,50,150,519.0,214.0,214.0,2.425233644859813,58.76685934489403,0.0,CPOP,-16.367713004484305
10,CPOP,ER,80,144,558.0,108.0,266.5,5.166666666666667,52.24014336917563,8.77237319946289,CPOP,-33.81294964028777
11,CPOP,WS,80,126,641.0,180.0,230.0,3.561111111111111,64.1185647425897,0.0,CPOP,-45.022624434389144
12,CPOP,WS,80,160,621.0,158.0,258.5,3.930379746835443,58.373590982286636,10.154485702514648,CPOP,-37.6940133037694
13,CPOP,BA,30,45,418.0,208.0,208.0,2.0096153846153846,50.23923444976076,0.0,CPOP,-16.434540389972145
0,Greedy-EFT,BA,80,79,374.0,104.0,249.0,3.5961538461538463,33.42245989304813,10.09058952331543,Greedy-EFT,-10.32448377581121
1,Greedy-EFT,BA,50,49,300.0,91.0,142.25,3.2967032967032965,52.583333333333336,0.5025863647460938,Greedy-EFT,-12.359550561797752
2,Greedy-EFT,WS,80,155,549.0,166.0,259.5,3.3072289156626504,52.732240437158474,0.06222724914550781,Greedy-EFT,0.18181818181818182
3,Greedy-EFT,ER,20,19,183.0,106.0,106.0,1.7264150943396226,42.07650273224044,0.0,Greedy-EFT,-15.822784810126583
4,Greedy-EFT,ER,20,22,149.0,65.0,73.5,2.292307692307692,50.671140939597315,8.178234100341797,Greedy-EFT,-16.40625
5,Greedy-EFT,ER,80,292,621.0,209.0,249.25,2.971291866028708,59.86312399355877,5.94019889831543,Greedy-EFT,-3.3277870216306153
6,Greedy-EFT,WS,30,46,407.0,138.0,138.0,2.949275362318841,66.09336609336609,0.0,Greedy-EFT,-10.597826086956522
7,Greedy-EFT,ER,80,268,640.0,230.0,257.75,2.782608695652174,59.7265625,10.314464569091797,Greedy-EFT,-12.874779541446207
8,Greedy-EFT,MOTIF_FORK,15,14,115.0,38.0,38.0,3.026315789473684,66.95652173913044,4.387855529785156,Greedy-EFT,-6.481481481481481
9,Greedy-EFT,ER,50,150,531.0,214.0,214.0,2.4813084112149535,59.69868173258004,0.5013942718505859,Greedy-EFT,-19.05829596412556
10,Greedy-EFT,ER,80,144,434.0,108.0,266.5,4.018518518518518,38.594470046082954,2.130270004272461,Greedy-EFT,-4.07673860911271
11,Greedy-EFT,WS,80,126,469.0,180.0,230.0,2.6055555555555556,50.95948827292111,10.211944580078125,Greedy-EFT,-6.108597285067873
12,Greedy-EFT,WS,80,160,483.0,158.0,258.5,3.0569620253164556,46.48033126293996,8.200645446777344,Greedy-EFT,-7.095343680709535
13,Greedy-EFT,BA,30,45,404.0,208.0,208.0,1.9423076923076923,48.51485148514851,1.573324203491211,Greedy-EFT,-12.534818941504177
0,LLM-Heuristic,BA,80,79,394.0,104.0,249.0,3.7884615384615383,36.80203045685279,12.28785514831543,LLM-Heuristic,-16.224188790560472
1,LLM-Heuristic,BA,50,49,294.0,91.0,142.25,3.230769230769231,51.6156462585034,6.127834320068359,LLM-Heuristic,-10.112359550561797
2,LLM-Heuristic,WS,80,155,561.0,166.0,259.5,3.3795180722891565,53.7433155080214,12.103796005249023,LLM-Heuristic,-2.0
3,LLM-Heuristic,ER,20,19,167.0,106.0,106.0,1.5754716981132075,36.52694610778443,0.0,LLM-Heuristic,-5.69620253164557
4,LLM-Heuristic,ER,20,22,150.0,65.0,73.5,2.3076923076923075,51.0,0.0,LLM-Heuristic,-17.1875
5,LLM-Heuristic,ER,80,292,729.0,209.0,249.25,3.488038277511962,65.80932784636488,10.209321975708008,LLM-Heuristic,-21.29783693843594
6,LLM-Heuristic,WS,30,46,383.0,138.0,138.0,2.7753623188405796,63.9686684073107,0.0,LLM-Heuristic,-4.076086956521739
7,LLM-Heuristic,ER,80,268,752.0,230.0,257.75,3.2695652173913046,65.7247340425532,8.013010025024414,LLM-Heuristic,-32.62786596119929
8,LLM-Heuristic,MOTIF_FORK,15,14,128.0,38.0,38.0,3.3684210526315788,70.3125,0.0,LLM-Heuristic,-18.51851851851852
9,LLM-Heuristic,ER,50,150,444.0,214.0,214.0,2.074766355140187,51.80180180180181,8.847236633300781,LLM-Heuristic,0.4484304932735426
10,LLM-Heuristic,ER,80,144,486.0,108.0,266.5,4.5,45.16460905349795,3.860950469970703,LLM-Heuristic,-16.546762589928058
11,LLM-Heuristic,WS,80,126,619.0,180.0,230.0,3.438888888888889,62.84329563812601,10.683298110961914,LLM-Heuristic,-40.04524886877828
12,LLM-Heuristic,WS,80,160,645.0,158.0,258.5,4.082278481012659,59.92248062015504,2.0666122436523438,LLM-Heuristic,-43.01552106430155
13,LLM-Heuristic,BA,30,45,430.0,208.0,208.0,2.0673076923076925,51.627906976744185,0.0,LLM-Heuristic,-19.77715877437326
0,BO-Heuristic,BA,80,79,364.0,104.0,249.0,3.5,31.59340659340659,8.191823959350586,BO-Heuristic,-7.374631268436578
1,BO-Heuristic,BA,50,49,259.0,91.0,142.25,2.8461538461538463,45.077220077220076,0.0,BO-Heuristic,2.9962546816479403
2,BO-Heuristic,WS,80,155,634.0,166.0,259.5,3.819277108433735,59.06940063091483,11.549949645996094,BO-Heuristic,-15.272727272727273
3,BO-Heuristic,ER,20,19,164.0,106.0,106.0,1.5471698113207548,35.36585365853659,0.0,BO-Heuristic,-3.79746835443038
4,BO-Heuristic,ER,20,22,166.0,65.0,73.5,2.5538461538461537,55.72289156626506,0.0,BO-Heuristic,-29.6875
5,BO-Heuristic,ER,80,292,599.0,209.0,249.25,2.8660287081339715,58.3889816360601,10.24770736694336,BO-Heuristic,0.33277870216306155
6,BO-Heuristic,WS,30,46,335.0,138.0,138.0,2.427536231884058,58.805970149253724,0.0,BO-Heuristic,8.967391304347826
7,BO-Heuristic,ER,80,268,691.0,230.0,257.75,3.0043478260869567,62.69898697539797,11.135578155517578,BO-Heuristic,-21.869488536155202
8,BO-Heuristic,MOTIF_FORK,15,14,108.0,38.0,38.0,2.8421052631578947,64.81481481481481,0.0,BO-Heuristic,0.0
9,BO-Heuristic,ER,50,150,495.0,214.0,214.0,2.3130841121495327,56.76767676767677,0.0,BO-Heuristic,-10.986547085201794
10,BO-Heuristic,ER,80,144,458.0,108.0,266.5,4.2407407407407405,41.81222707423581,9.659767150878906,BO-Heuristic,-9.832134292565947
11,BO-Heuristic,WS,80,126,516.0,180.0,230.0,2.8666666666666667,55.42635658914728,10.323286056518555,BO-Heuristic,-16.7420814479638
12,BO-Heuristic,WS,80,160,532.0,158.0,258.5,3.367088607594937,51.40977443609023,7.931232452392578,BO-Heuristic,-17.96008869179601
13,BO-Heuristic,BA,30,45,368.0,208.0,208.0,1.7692307692307692,43.47826086956522,2.222776412963867,BO-Heuristic,-2.5069637883008355
0,GA-PerDAG,BA,80,79,307.0,104.0,249.0,2.951923076923077,18.892508143322477,2569.777250289917,GA-PerDAG,9.43952802359882
1,GA-PerDAG,BA,50,49,204.0,91.0,142.25,2.241758241758242,30.26960784313725,1230.494737625122,GA-PerDAG,23.595505617977526
2,GA-PerDAG,WS,80,155,451.0,166.0,259.5,2.716867469879518,42.46119733924612,2111.3221645355225,GA-PerDAG,18.0
3,GA-PerDAG,ER,20,19,148.0,106.0,106.0,1.3962264150943395,28.37837837837838,349.9641418457031,GA-PerDAG,6.329113924050633
4,GA-PerDAG,ER,20,22,125.0,65.0,73.5,1.9230769230769231,41.199999999999996,362.5659942626953,GA-PerDAG,2.34375
5,GA-PerDAG,ER,80,292,490.0,209.0,249.25,2.3444976076555024,49.13265306122449,2296.2050437927246,GA-PerDAG,18.469217970049918
6,GA-PerDAG,WS,30,46,328.0,138.0,138.0,2.3768115942028984,57.92682926829268,539.4814014434814,GA-PerDAG,10.869565217391305
